date,ticker,headline,source
2023-01-05,AAPL,Apple kicks off 2023 with strong iPhone 14 demand in emerging markets,Reuters
2023-01-12,GOOGL,Google announces major restructuring to focus on AI initiatives,Bloomberg
2023-01-18,MSFT,Microsoft invests $10 billion in OpenAI partnership,CNBC
2023-01-25,AMZN,Amazon plans to lay off 18000 workers amid economic slowdown,WSJ
2023-02-02,TSLA,Tesla reports record Q4 deliveries beating analyst expectations,MarketWatch
2023-02-10,META,Meta shares surge 20% after cost-cutting measures announced,Yahoo Finance
2023-02-15,NVDA,NVIDIA reports explosive growth in data center revenue,Reuters
2023-02-22,JPM,JPMorgan Chase posts record annual profit for 2022,Bloomberg
2023-03-01,BAC,Bank of America faces headwinds from rising interest rates,CNBC
2023-03-08,JNJ,Johnson and Johnson announces plan to split into two companies,WSJ
2023-03-15,V,Visa reports strong cross-border transaction growth,MarketWatch
2023-03-22,WMT,Walmart expands grocery delivery service to 3000 new locations,Yahoo Finance
2023-03-29,PG,Procter and Gamble raises dividend for 67th consecutive year,Reuters
2023-04-05,UNH,UnitedHealth Group revenue exceeds expectations in Q1,Bloomberg
2023-04-12,HD,Home Depot sees mixed results as housing market cools,CNBC
2023-04-20,AAPL,Apple faces antitrust probe in European Union over App Store practices,WSJ
2023-05-03,GOOGL,Google launches Bard AI chatbot to compete with ChatGPT,MarketWatch
2023-05-10,MSFT,Microsoft Teams reaches 300 million monthly active users,Yahoo Finance
2023-05-18,AMZN,Amazon Web Services maintains cloud market leadership position,Reuters
2023-05-25,TSLA,Tesla cuts prices across all models to boost demand,Bloomberg
2023-06-01,META,Meta launches Threads app gaining 100 million users in days,CNBC
2023-06-08,NVDA,NVIDIA market cap crosses $1 trillion on AI chip demand,WSJ
2023-06-15,JPM,JPMorgan acquires First Republic Bank assets in FDIC deal,MarketWatch
2023-06-22,BAC,Bank of America launches new digital banking platform,Yahoo Finance
2023-06-30,JNJ,Johnson and Johnson wins key talc lawsuit reducing legal risks,Reuters
2023-07-07,V,Visa expands cryptocurrency payment capabilities worldwide,Bloomberg
2023-07-14,WMT,Walmart invests in supply chain automation and robotics,CNBC
2023-07-21,PG,Procter and Gamble reports slower growth amid inflation pressures,WSJ
2023-07-28,UNH,UnitedHealth faces Congressional scrutiny over healthcare costs,MarketWatch
2023-08-04,HD,Home Depot warns of softer consumer spending in second half,Yahoo Finance
2023-08-11,AAPL,Apple Vision Pro unveiled at WWDC generating mixed reactions,Reuters
2023-08-18,GOOGL,Google Cloud revenue growth accelerates beating estimates,Bloomberg
2023-08-25,MSFT,Microsoft reports strong Azure cloud growth in fiscal Q4,CNBC
2023-09-01,AMZN,Amazon expands same-day delivery to 50 new metro areas,WSJ
2023-09-08,TSLA,Tesla Cybertruck production begins after years of delays,MarketWatch
2023-09-15,META,Meta AI research team makes breakthrough in language models,Yahoo Finance
2023-09-22,NVDA,NVIDIA unveils next-generation AI chips at GTC conference,Reuters
2023-09-29,JPM,JPMorgan CEO warns of geopolitical risks to global economy,Bloomberg
2023-10-06,BAC,Bank of America reports unrealized losses on bond portfolio,CNBC
2023-10-13,JNJ,Johnson and Johnson consumer health spin-off Kenvue goes public,WSJ
2023-10-20,V,Visa quarterly revenue grows 11% driven by travel spending,MarketWatch
2023-10-27,WMT,Walmart raises full-year guidance on strong grocery sales,Yahoo Finance
2023-11-03,PG,Procter and Gamble sees organic sales growth slow to 6 percent,Reuters
2023-11-10,UNH,UnitedHealth Group completes major healthcare acquisition,Bloomberg
2023-11-17,HD,Home Depot beats earnings estimates despite housing slowdown,CNBC
2023-11-24,AAPL,Apple reports iPhone 15 sales below expectations in China market,WSJ
2023-12-01,GOOGL,Google agrees to settle antitrust case over app store practices,MarketWatch
2023-12-08,MSFT,Microsoft named leader in Gartner cloud infrastructure report,Yahoo Finance
2023-12-15,AMZN,Amazon holiday season sales break records with AI-powered recommendations,Reuters
2023-12-22,TSLA,Tesla shares drop on concerns about EV demand slowdown in 2024,Bloomberg
2024-01-05,META,Meta stock rallies as advertising revenue rebounds strongly,CNBC
2024-01-12,NVDA,NVIDIA stock surges on AI infrastructure spending forecasts,WSJ
2024-01-19,JPM,JPMorgan posts record annual revenue of $162 billion,MarketWatch
2024-01-26,BAC,Bank of America digital banking users surpass 45 million,Yahoo Finance
2024-02-02,JNJ,Johnson and Johnson pipeline shows promising cancer drug results,Reuters
2024-02-09,V,Visa reports strong international transaction volume growth,Bloomberg
2024-02-16,WMT,Walmart completes acquisition of Vizio to boost ad business,CNBC
2024-02-23,PG,Procter and Gamble maintains market share despite price increases,WSJ
2024-03-01,UNH,UnitedHealth cybersecurity incident disrupts healthcare payments,MarketWatch
2024-03-08,HD,Home Depot announces $15 billion share buyback program,Yahoo Finance
2024-03-15,AAPL,Apple faces DOJ antitrust lawsuit over smartphone monopoly,Reuters
2024-03-22,GOOGL,Google Gemini AI model shows significant improvements over GPT-4,Bloomberg
2024-03-29,MSFT,Microsoft Copilot adoption accelerates across enterprise customers,CNBC
