user_id,age,income,risk_tolerance,investment_horizon,preferred_sectors,portfolio_size,trading_frequency,past_returns
USR001,58,83369,1,long,Finance,257787,weekly,-18.84
USR002,24,379785,9,short,Consumer,443417,daily,-27.62
USR003,31,146981,9,long,Technology,589508,weekly,27.28
USR004,62,310706,7,short,Energy,618889,monthly,34.75
USR005,18,422833,3,long,Energy,357778,monthly,-17.56
USR006,66,201472,2,short,Energy,102414,monthly,37.8
USR007,56,163685,1,long,Energy,563275,daily,47.85
USR008,42,66313,9,medium,Mixed,649564,monthly,16.19
USR009,63,61466,1,long,Healthcare,811620,monthly,48.82
USR010,32,479286,2,medium,Finance,476435,monthly,-16.99
USR011,40,134842,5,long,Mixed,680514,daily,18.73
USR012,28,305043,4,short,Energy,398887,monthly,49.16
USR013,58,385795,9,short,Mixed,341035,daily,-11.68
USR014,20,447075,6,medium,Finance,70403,weekly,43.05
USR015,54,484469,6,short,Mixed,524481,quarterly,40.77
USR016,59,265570,3,medium,Healthcare,259607,monthly,29.76
USR017,45,495717,10,medium,Finance,230974,weekly,10.76
USR018,23,421247,1,short,Healthcare,658924,weekly,33.37
USR019,45,337690,2,medium,Energy,625834,quarterly,12.33
USR020,53,476296,1,long,Mixed,121116,monthly,31.49
USR021,39,83485,5,medium,Healthcare,476763,daily,46.31
USR022,64,163091,9,short,Consumer,957959,daily,39.64
USR023,37,466277,9,long,Healthcare,161263,monthly,31.0
USR024,52,433224,9,short,Consumer,340902,quarterly,-28.44
USR025,41,485703,5,short,Technology,253572,daily,-23.15
USR026,49,452831,2,long,Healthcare,135628,quarterly,45.75
USR027,28,163966,9,long,Energy,223086,weekly,27.04
USR028,43,377157,6,medium,Consumer,474417,daily,-10.17
USR029,22,202254,1,long,Consumer,242292,weekly,-29.42
USR030,63,355879,1,short,Technology,950401,daily,38.77
USR031,22,294565,4,medium,Mixed,509993,weekly,13.14
USR032,64,487622,10,long,Energy,255801,quarterly,34.6
USR033,30,74453,2,long,Energy,372507,quarterly,2.89
USR034,64,53401,2,short,Energy,764587,monthly,34.05
USR035,24,155367,4,short,Consumer,471405,weekly,3.75
USR036,35,267550,4,short,Energy,848272,daily,-25.95
USR037,52,463319,1,short,Healthcare,175389,quarterly,8.85
USR038,31,478325,7,short,Healthcare,398382,daily,48.82
USR039,34,436078,8,medium,Energy,731429,quarterly,-17.62
USR040,36,139137,1,long,Mixed,569532,daily,29.84
USR041,21,51289,10,medium,Consumer,965047,weekly,-25.45
USR042,50,67001,3,short,Consumer,72262,weekly,2.3
USR043,54,154087,10,long,Technology,650468,daily,3.54
USR044,55,321341,9,medium,Finance,215181,monthly,-10.91
USR045,43,93617,5,medium,Finance,975146,daily,-29.25
USR046,57,320170,2,short,Consumer,224508,monthly,-19.4
USR047,40,486826,2,short,Finance,299830,weekly,5.05
USR048,52,393857,5,long,Mixed,555634,daily,23.43
USR049,53,181960,2,short,Finance,122035,daily,29.39
USR050,27,167788,5,long,Healthcare,753470,monthly,-13.71
USR051,58,472171,5,long,Energy,264319,daily,-22.62
USR052,45,459817,5,short,Technology,350759,weekly,20.97
USR053,34,109715,8,long,Mixed,449462,daily,-21.05
USR054,62,498918,3,long,Technology,876136,monthly,16.6
USR055,27,250332,3,short,Finance,383364,daily,41.91
USR056,31,382599,4,long,Technology,371858,quarterly,47.91
USR057,65,106030,4,short,Healthcare,925231,quarterly,-28.02
USR058,65,199160,7,long,Mixed,851132,weekly,-8.66
USR059,68,392671,2,medium,Technology,901300,quarterly,-12.21
USR060,70,266331,6,medium,Healthcare,234752,daily,22.8
USR061,43,197103,5,short,Finance,369203,quarterly,24.36
USR062,52,198617,1,short,Finance,188241,monthly,-26.94
USR063,56,252836,6,long,Finance,458592,daily,0.82
USR064,54,124656,5,short,Mixed,458239,daily,11.59
USR065,69,307303,4,medium,Energy,74372,monthly,19.85
USR066,60,469604,2,long,Finance,532756,monthly,23.35
USR067,38,235973,5,long,Healthcare,202158,quarterly,23.19
USR068,42,380109,3,long,Consumer,316568,quarterly,13.83
USR069,18,184317,5,short,Energy,824927,monthly,7.2
USR070,46,379223,4,long,Energy,833291,weekly,22.71
USR071,36,295245,10,medium,Technology,859179,weekly,23.82
USR072,32,447871,4,short,Technology,49458,weekly,48.71
USR073,57,470507,2,medium,Energy,930181,weekly,27.47
USR074,42,284196,7,short,Healthcare,688926,daily,41.41
USR075,67,489238,2,medium,Healthcare,185430,quarterly,-25.98
USR076,33,469772,2,medium,Healthcare,841346,quarterly,23.41
USR077,53,337188,6,medium,Consumer,855596,quarterly,36.45
USR078,53,258787,3,long,Energy,472932,monthly,30.14
USR079,58,170391,9,medium,Mixed,251867,monthly,5.19
USR080,63,174803,4,medium,Finance,336239,daily,-18.93
USR081,32,225820,3,long,Healthcare,68348,quarterly,2.61
USR082,52,269278,7,short,Healthcare,874349,quarterly,1.16
USR083,67,331225,1,long,Energy,501149,daily,45.42
USR084,37,420037,7,medium,Consumer,784826,weekly,9.06
USR085,35,253503,8,short,Energy,353457,quarterly,27.93
USR086,47,91913,10,long,Technology,951983,quarterly,17.35
USR087,60,39209,2,long,Energy,143291,quarterly,-15.46
USR088,34,223759,6,short,Energy,343722,monthly,30.9
USR089,42,170886,7,medium,Technology,494152,daily,29.92
USR090,21,208480,4,long,Technology,820182,daily,30.34
USR091,33,129522,1,long,Healthcare,251132,weekly,7.88
USR092,25,320682,4,medium,Mixed,269690,monthly,-16.58
USR093,56,417128,2,short,Finance,114349,daily,44.31
USR094,54,380125,7,medium,Mixed,208963,daily,17.37
USR095,58,152323,2,long,Finance,892597,daily,33.7
USR096,54,435326,1,medium,Consumer,450186,monthly,-24.48
USR097,59,203903,1,medium,Energy,111665,quarterly,46.86
USR098,58,492442,8,long,Healthcare,457641,weekly,28.7
USR099,59,166600,10,long,Energy,488455,quarterly,36.06
USR100,55,165716,6,short,Technology,293477,quarterly,-10.49
USR101,47,323765,10,long,Energy,353737,daily,9.54
USR102,38,120336,8,short,Finance,837587,monthly,-2.77
USR103,56,392622,5,long,Technology,542722,weekly,-23.15
USR104,64,238085,8,long,Healthcare,725156,quarterly,21.67
USR105,49,259972,1,short,Finance,233360,quarterly,25.34
USR106,37,373106,10,medium,Energy,581358,monthly,4.04
